t_id,userId,movieId,tag
1,2,60756,funny
2,2,60756,Highly quotable
3,2,60756,will ferrell
4,2,89774,Boxing story
5,2,89774,MMA
6,2,89774,Tom Hardy
7,2,106782,drugs
8,2,106782,Leonardo DiCaprio
9,2,106782,Martin Scorsese
10,7,48516,way too long
11,18,431,Al Pacino
12,18,431,gangster
13,18,431,mafia
14,18,1221,Al Pacino
15,18,1221,Mafia
16,18,5995,holocaust
17,18,5995,true story
18,18,44665,twist ending
19,18,52604,Anthony Hopkins
20,18,52604,courtroom drama
21,18,52604,twist ending
22,21,1569,romantic comedy
23,21,1569,wedding
24,21,118985,painter
25,21,119141,bloody
26,49,109487,black hole
27,49,109487,sci-fi
28,49,109487,time-travel
29,62,2,fantasy
30,62,2,magic board game
31,62,2,Robin Williams
32,62,110,beautiful scenery
33,62,110,epic
34,62,110,historical
35,62,110,inspirational
36,62,110,Medieval
37,62,110,mel gibson
38,62,110,Oscar (Best Cinematography)
39,62,110,revenge
40,62,110,sword fight
41,62,410,black comedy
42,62,410,Christina Ricci
43,62,410,Christopher Lloyd
44,62,410,dark comedy
45,62,410,family
46,62,410,gothic
47,62,2023,Al Pacino
48,62,2023,Andy Garcia
49,62,2023,Classic
50,62,2023,Francis Ford Coppola
51,62,2023,mafia
52,62,2124,black comedy
53,62,2124,Christina Ricci
54,62,2124,Christopher Lloyd
55,62,2124,Family
56,62,2124,gothic
57,62,2124,quirky
58,62,2953,family
59,62,2953,funny
60,62,2953,Macaulay Culkin
61,62,2953,sequel
62,62,3114,animation
63,62,3114,Disney
64,62,3114,funny
65,62,3114,original
66,62,3114,Pixar
67,62,3114,sequel
68,62,3114,Tom Hanks
69,62,3578,ancient Rome
70,62,3578,Epic
71,62,3578,history
72,62,3578,imdb top 250
73,62,3578,revenge
74,62,3578,Rome
75,62,3578,Russell Crowe
76,62,4223,Ed Harris
77,62,4223,Jude Law
78,62,4223,Rachel Weisz
79,62,4223,sniper
80,62,4223,World War II
81,62,5388,Al Pacino
82,62,5388,atmospheric
83,62,5388,Hilary Swank
84,62,5388,Robin Williams
85,62,6058,sequel
86,62,6058,violent
87,62,6534,dogs
88,62,6534,Eric Bana
89,62,6534,mad scientist
90,62,6534,marvel
91,62,6541,captain nemo
92,62,6541,comic book
93,62,6541,gothic
94,62,6541,Peta Wilson
95,62,6541,Sean Connery
96,62,6541,superhero
97,62,6564,adventure
98,62,6564,Angelina Jolie
99,62,6564,heroine in tight suit
100,62,7153,Adventure
101,62,7153,ensemble cast
102,62,7153,fantasy
103,62,7153,fantasy world
104,62,7153,great soundtrack
105,62,7153,lord of the rings
106,62,7153,scenic
107,62,7153,stylized
108,62,7153,Tolkien
109,62,8641,hilarious
110,62,8641,Steve Carell
111,62,8641,Will Ferrell
112,62,27706,dark comedy
113,62,27706,Jim Carrey
114,62,27706,meryl streep
115,62,27706,quirky
116,62,27706,stylized
117,62,27808,Adam Sandler
118,62,27808,family
119,62,27808,sweet
120,62,27831,British gangster
121,62,27831,confusing
122,62,27831,daniel craig
123,62,27831,Exquisite plotting.
124,62,27831,organized crime
125,62,27831,stylish
126,62,27831,Tom Hardy
127,62,31658,anime
128,62,31658,fantasy world
129,62,31658,Hayao Miyazaki
130,62,31658,Studio Ghibli
131,62,33162,David Thewlis
132,62,33162,Eva Green
133,62,33162,Liam Neeson
134,62,33162,Orlando Bloom
135,62,34150,Chris Evans
136,62,34150,comic book
137,62,34150,heroine in tight suit
138,62,34150,Jessica Alba
139,62,34150,sexy female scientist
140,62,34150,superhero
141,62,37729,gothic
142,62,37729,helena bonham carter
143,62,37729,Johnny Depp
144,62,37729,Tim Burton
145,62,37729,visually appealing
146,62,38061,black comedy
147,62,38061,clever
148,62,38061,fast-paced dialogue
149,62,38061,good dialogue
150,62,38061,Robert Downey Jr.
151,62,38061,witty
152,62,45447,adventure
153,62,45447,Audrey Tautou
154,62,45447,conspiracy theory
155,62,45447,Mystery
156,62,45447,Paris
157,62,45447,Tom Hanks
158,62,45447,treasure hunt
159,62,46723,Brad Pitt
160,62,46723,cate blanchett
161,62,46723,multiple storylines
162,62,46723,social commentary
163,62,46972,Ben Stiller
164,62,46972,Robin Williams
165,62,46976,emma thompson
166,62,46976,Maggie Gyllenhaal
167,62,46976,modern fantasy
168,62,46976,romance
169,62,46976,surreal
170,62,46976,Will Ferrell
171,62,49130,Marion Cotillard
172,62,49530,Africa
173,62,49530,corruption
174,62,49530,Jennifer Connelly
175,62,49530,justice
176,62,49530,Leonardo DiCaprio
177,62,53464,bad acting
178,62,53464,bad jokes
179,62,53464,bad plot
180,62,53464,Chris Evans
181,62,53464,Jessica Alba
182,62,53464,Marvel
183,62,53464,sexy female scientist
184,62,58047,Rachel Weisz
185,62,58047,Ryan Reynolds
186,62,59501,fantasy
187,62,59501,lion
188,62,59501,narnia
189,62,59501,Tilda Swinton
190,62,60074,bad script
191,62,60074,Charlize Theron
192,62,60074,Will Smith
193,62,60126,Anne Hathaway
194,62,60126,Steve Carell
195,62,60756,comedy
196,62,60756,funny
197,62,60756,will ferrell
198,62,61024,comedy
199,62,61024,James Franco
200,62,61024,Seth Rogen
201,62,61024,Stoner Movie
202,62,63992,audience intelligence underestimated
203,62,63992,boring
204,62,63992,chick flick
205,62,63992,overrated
206,62,63992,Teen movie
207,62,68848,Adrien Brody
208,62,68848,con artists
209,62,68848,funny
210,62,68848,interesting characters
211,62,68848,Mark Ruffalo
212,62,68848,Rachel Weisz
213,62,71535,Bill Murray
214,62,71535,dark comedy
215,62,71535,Emma Stone
216,62,71535,funny
217,62,71535,Jesse Eisenberg
218,62,71535,Woody Harrelson
219,62,87430,audience intelligence underestimated
220,62,87430,CGI
221,62,87430,cheesy
222,62,87430,comic book
223,62,87430,DC
224,62,87430,DC Comics
225,62,87430,Ryan Reynolds
226,62,87430,space
227,62,87430,superhero
228,62,88405,comedy
229,62,88405,funny
230,62,88405,happy ending
231,62,88405,HOT actress
232,62,88405,Justin Timberlake
233,62,88405,Mila Kunis
234,62,88405,New York City
235,62,88405,romance
236,62,88405,sex
237,62,96861,Istanbul
238,62,96861,Liam Neeson
239,62,96861,predictable
240,62,96861,Turkey
241,62,96861,unnecessary sequel
242,62,99114,action
243,62,99114,Christoph Waltz
244,62,99114,funny
245,62,99114,good soundtrack
246,62,99114,Great performances
247,62,99114,Humour
